Player,Nation,Pos,Age,playing_time_MP,playing_time_Starts,playing_time_Min,playing_time_90s,performance_Gls,performance_Ast,performance_G+A,performance_G-PK,performance_PK,performance_PKatt,performance_CrdY,performance_CrdR,expected_xG,expected_npxG,expected_xAG,expected_npxG+xAG,progression_PrgC,progression_PrgP,progression_PrgR,per_90_minutes_Gls,per_90_minutes_Ast,per_90_minutes_G+A,per_90_minutes_G-PK,per_90_minutes_G+A-PK,per_90_minutes_xG,per_90_minutes_xAG,per_90_minutes_xG+xAG,per_90_minutes_npxG,per_90_minutes_npxG+xAG,Matches,Team,Season,MP
Calvin Bassey,ng NGA,DF,25-136,,33,2984.0,33.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.1,1.2,39.0,114.0,15.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,Matches,Fulham,2024,34.0
Raúl Jiménez,mx MEX,FW,34-011,,28,2314.0,25.7,11.0,3.0,14.0,8.0,3.0,3.0,4.0,0.0,11.4,9.0,3.3,12.3,33.0,58.0,123.0,0.43,0.12,0.54,0.31,0.43,0.44,0.13,0.57,0.35,0.48,Matches,Fulham,2024,36.0
Joachim Andersen,dk DEN,DF,28-350,,27,2403.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.3,1.3,16.0,110.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Fulham,2024,27.0
Saša Lukić,rs SRB,MF,28-276,,26,2169.0,24.1,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,1.2,1.2,2.6,3.8,37.0,92.0,29.0,0.0,0.08,0.08,0.0,0.08,0.05,0.11,0.16,0.05,0.16,Matches,Fulham,2024,28.0
Sander Berge,no NOR,MF,27-091,,25,2174.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.6,0.8,28.0,119.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,Matches,Fulham,2024,29.0
Andreas Pereira,br BRA,MF,29-135,,24,1953.0,21.7,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,3.5,2.7,4.5,7.2,29.0,103.0,80.0,0.09,0.18,0.28,0.09,0.28,0.16,0.21,0.37,0.13,0.33,Matches,Fulham,2024,32.0
Emile Smith Rowe,eng ENG,MF,24-292,,24,1948.0,21.6,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,4.4,4.4,1.3,5.7,52.0,121.0,121.0,0.28,0.14,0.42,0.28,0.42,0.2,0.06,0.27,0.2,0.27,Matches,Fulham,2024,32.0
Kenny Tete,nl NED,DF,29-219,,19,1594.0,17.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.2,33.0,55.0,49.0,0.0,0.11,0.11,0.0,0.11,0.07,0.05,0.12,0.07,0.12,Matches,Fulham,2024,20.0
Timothy Castagne,be BEL,DF,29-162,,17,1649.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.2,1.6,17.0,62.0,67.0,0.0,0.05,0.05,0.0,0.05,0.02,0.07,0.09,0.02,0.09,Matches,Fulham,2024,24.0
Adama Traoré,es ESP,"FW,MF",29-111,,16,1620.0,18.0,2.0,6.0,8.0,2.0,0.0,0.0,3.0,0.0,3.9,3.9,4.7,8.6,91.0,64.0,148.0,0.11,0.33,0.44,0.11,0.44,0.22,0.26,0.48,0.22,0.48,Matches,Fulham,2024,34.0
Issa Diop,fr FRA,DF,28-127,,15,1339.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,6.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches,Fulham,2024,21.0
Harry Wilson,wls WAL,"FW,MF",28-055,,11,1077.0,12.0,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,4.0,4.0,1.1,5.1,18.0,49.0,89.0,0.42,0.08,0.5,0.42,0.5,0.34,0.09,0.43,0.34,0.43,Matches,Fulham,2024,23.0
Rodrigo Muniz,br BRA,FW,24-012,,8,964.0,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,5.8,5.8,0.7,6.5,6.0,27.0,31.0,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,Matches,Fulham,2024,31.0
Ryan Sessegnon,eng ENG,"FW,DF",24-363,,7,552.0,6.1,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.6,1.6,1.0,2.6,15.0,20.0,56.0,0.65,0.33,0.98,0.65,0.98,0.27,0.16,0.42,0.27,0.42,Matches,Fulham,2024,14.0
Reiss Nelson,eng ENG,FW,25-157,,5,487.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.1,45.0,35.0,63.0,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39,Matches,Fulham,2024,11.0
Jorge Cuenca,es ESP,DF,25-180,,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Fulham,2024,6.0
Tom Cairney,sct SCO,MF,34-116,,2,510.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.2,0.2,1.0,1.2,15.0,48.0,32.0,0.18,0.0,0.18,0.18,0.18,0.04,0.17,0.21,0.04,0.21,Matches,Fulham,2024,23.0
Willian,br BRA,"FW,MF",36-280,,2,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,11.0,40.0,33.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18,0.28,0.1,0.28,Matches,Fulham,2024,10.0
Joshua King,eng ENG,MF,18-133,,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.7,1.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.26,0.44,0.69,0.26,0.69,Matches,Fulham,2024,6.0
Harrison Reed,eng ENG,MF,30-109,,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.27,0.21,0.27,Matches,Fulham,2024,12.0
Martial Godo,eng ENG,"FW,DF",22-063,,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches,Fulham,2024,2.0
Carlos Vinícius,br BRA,"MF,FW",30-052,,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,Fulham,2024,3.0
Jay Stansfield,eng ENG,MF,22-173,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,2024,1.0
Samuel Amissah,eng ENG,DF,18-070,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,2024,0.0
Steven Benda,de GER,GK,26-227,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,2024,0.0
Dara O'Shea,ie IRL,DF,26-073,,33,2942.0,32.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.2,1.2,0.5,1.7,3.0,73.0,8.0,0.0,0.06,0.06,0.0,0.06,0.04,0.02,0.05,0.04,0.05,Matches,Ipswich Town,2024,33.0
Liam Delap,eng ENG,FW,22-097,,32,2552.0,28.4,12.0,2.0,14.0,10.0,2.0,2.0,10.0,0.0,9.3,7.7,1.9,9.6,60.0,30.0,107.0,0.42,0.07,0.49,0.35,0.42,0.33,0.07,0.4,0.27,0.34,Matches,Ipswich Town,2024,35.0
Leif Davis,eng ENG,DF,25-124,,30,2563.0,28.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,4.3,5.2,48.0,55.0,117.0,0.04,0.07,0.11,0.04,0.11,0.03,0.15,0.18,0.03,0.18,Matches,Ipswich Town,2024,31.0
Sam Morsy,eg EGY,MF,33-248,,29,2576.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.4,0.4,0.9,1.3,18.0,107.0,9.0,0.03,0.03,0.07,0.03,0.07,0.01,0.03,0.04,0.01,0.04,Matches,Ipswich Town,2024,31.0
Omari Hutchinson,eng ENG,"MF,FW",21-198,,28,2403.0,26.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,2.4,2.4,3.3,5.7,82.0,71.0,142.0,0.11,0.07,0.19,0.11,0.19,0.09,0.12,0.21,0.09,0.21,Matches,Ipswich Town,2024,29.0
Jacob Greaves,eng ENG,DF,24-246,,23,2025.0,22.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.2,1.5,8.0,56.0,9.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07,Matches,Ipswich Town,2024,23.0
Jens Cajuste,se SWE,MF,25-279,,23,1812.0,20.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.6,1.1,23.0,46.0,16.0,0.05,0.0,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.05,Matches,Ipswich Town,2024,28.0
Arijanet Muric,xk KVX,GK,26-190,,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,18.0
Axel Tuanzebe,cd COD,DF,27-183,,18,1530.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.3,0.5,9.0,49.0,9.0,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,Matches,Ipswich Town,2024,20.0
Cameron Burgess,au AUS,DF,29-207,,16,1541.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.5,1.6,2.0,42.0,4.0,0.0,0.12,0.12,0.0,0.12,0.06,0.03,0.09,0.06,0.09,Matches,Ipswich Town,2024,18.0
Ben Johnson,eng ENG,"DF,FW",25-112,,14,1354.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,1.3,2.3,16.0,27.0,33.0,0.07,0.13,0.2,0.07,0.2,0.07,0.09,0.16,0.07,0.16,Matches,Ipswich Town,2024,23.0
Kalvin Phillips,eng ENG,MF,29-165,,14,1237.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.2,0.7,4.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Ipswich Town,2024,19.0
Sammie Szmodics,ie IRL,"FW,MF",29-234,,13,979.0,10.9,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,0.2,3.6,16.0,18.0,46.0,0.37,0.0,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches,Ipswich Town,2024,19.0
Luke Woolfenden,eng ENG,DF,26-207,,12,1187.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,15.0
Alex Palmer,eng ENG,GK,28-279,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,12.0
Wes Burns,wls WAL,"FW,DF",30-174,,12,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.6,2.2,38.0,8.0,65.0,0.0,0.1,0.1,0.0,0.1,0.05,0.16,0.21,0.05,0.21,Matches,Ipswich Town,2024,18.0
Jack Clarke,eng ENG,"FW,MF",24-174,,11,1090.0,12.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.1,3.0,34.0,38.0,48.0,0.0,0.33,0.33,0.0,0.33,0.08,0.17,0.25,0.08,0.25,Matches,Ipswich Town,2024,30.0
Julio Enciso,py PAR,"FW,MF",21-113,,11,799.0,8.9,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,1.3,2.8,21.0,25.0,41.0,0.23,0.34,0.56,0.23,0.56,0.17,0.14,0.31,0.17,0.31,Matches,Ipswich Town,2024,12.0
Conor Chaplin,eng ENG,"MF,FW",28-089,,9,768.0,8.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.7,1.9,11.0,27.0,20.0,0.12,0.12,0.23,0.12,0.23,0.14,0.08,0.22,0.14,0.22,Matches,Ipswich Town,2024,20.0
Nathan Broadhead,wls WAL,"MF,FW",27-041,,6,605.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.6,2.1,17.0,12.0,27.0,0.15,0.0,0.15,0.15,0.15,0.22,0.1,0.32,0.22,0.32,Matches,Ipswich Town,2024,16.0
Christian Walton,eng ENG,GK,29-188,,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,6.0
Jaden Philogene Bidace,eng ENG,"FW,DF",23-097,,5,474.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.2,2.2,13.0,10.0,36.0,0.38,0.0,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42,Matches,Ipswich Town,2024,10.0
Jack Taylor,ie IRL,MF,26-327,,4,827.0,9.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.5,1.3,11.0,42.0,22.0,0.11,0.0,0.11,0.11,0.11,0.08,0.06,0.14,0.08,0.14,Matches,Ipswich Town,2024,30.0
Harry Clarke,eng ENG,DF,24-075,,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.0,0.1,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Ipswich Town,2024,7.0
George Hirst,sct SCO,FW,26-090,,3,522.0,5.8,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.9,1.9,0.3,2.2,9.0,13.0,29.0,0.52,0.17,0.69,0.52,0.69,0.32,0.06,0.38,0.32,0.38,Matches,Ipswich Town,2024,24.0
Conor Townsend,eng ENG,DF,32-073,,3,335.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,2.0,8.0,13.0,0.0,0.27,0.27,0.0,0.27,0.01,0.18,0.18,0.01,0.18,Matches,Ipswich Town,2024,6.0
Chiedozie Ogbene,ie IRL,FW,28-015,,3,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Ipswich Town,2024,5.0
Massimo Luongo,au AUS,MF,32-233,,2,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,9.0
Ben Godfrey,eng ENG,DF,27-121,,2,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,3.0
Ali Al Hamadi,iq IRQ,FW,23-076,,0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.4,4.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.28,0.24,0.28,Matches,Ipswich Town,2024,11.0
Marcus Harness,eng ENG,MF,29-081,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,2.0
George Edmundson,eng ENG,DF,27-258,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,1.0
Somto Boniface,eng ENG,DF,19-066,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich Town,2024,0.0
Cieran Slicker,sct SCO,GK,22-243,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich Town,2024,0.0
Tom Taylor,,MF,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich Town,2024,0.0
Jamie Vardy,eng ENG,FW,38-125,34.0,34,2744.0,30.5,8.0,4.0,12.0,7.0,1.0,2.0,5.0,0.0,10.7,9.2,3.0,12.2,28.0,21.0,116.0,0.26,0.13,0.39,0.23,0.36,0.35,0.1,0.45,0.3,0.4,Matches,Leicester City,2024,
James Justin,eng ENG,DF,27-082,34.0,32,2759.0,30.7,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.5,1.5,0.6,2.1,39.0,87.0,94.0,0.07,0.03,0.1,0.07,0.1,0.05,0.02,0.07,0.05,0.07,Matches,Leicester City,2024,
Wout Faes,be BEL,DF,27-043,32.0,28,2635.0,29.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,0.1,1.6,12.0,83.0,1.0,0.03,0.0,0.03,0.03,0.03,0.05,0.0,0.06,0.05,0.06,Matches,Leicester City,2024,
Victor Bernth Kristiansen,dk DEN,DF,22-151,29.0,28,2394.0,26.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.4,1.7,39.0,69.0,75.0,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,Matches,Leicester City,2024,
Mads Hermansen,dk DEN,GK,24-309,27.0,27,2385.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,
Wilfred Ndidi,ng NGA,MF,28-151,27.0,27,2237.0,24.9,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,1.9,3.9,18.0,67.0,75.0,0.0,0.16,0.16,0.0,0.16,0.08,0.08,0.16,0.08,0.16,Matches,Leicester City,2024,
Bilal El Khannouss,ma MAR,MF,21-006,31.0,26,2092.0,23.2,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.2,1.2,4.3,5.5,72.0,122.0,84.0,0.09,0.13,0.22,0.09,0.22,0.05,0.18,0.24,0.05,0.24,Matches,Leicester City,2024,
Boubakary Soumaré,fr FRA,MF,26-078,29.0,23,1991.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.4,0.7,32.0,100.0,22.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Leicester City,2024,
Harry Winks,eng ENG,MF,29-103,22.0,17,1538.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.2,1.5,19.0,101.0,11.0,0.0,0.12,0.12,0.0,0.12,0.01,0.07,0.09,0.01,0.09,Matches,Leicester City,2024,
Conor Coady,eng ENG,DF,32-080,20.0,17,1534.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,3.0,30.0,0.0,0.06,0.0,0.06,0.06,0.06,0.02,0.0,0.03,0.02,0.03,Matches,Leicester City,2024,
Jordan Ayew,gh GHA,"FW,MF",33-247,28.0,17,1485.0,16.5,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,3.0,2.2,1.0,3.2,43.0,39.0,79.0,0.3,0.0,0.3,0.24,0.24,0.18,0.06,0.24,0.13,0.19,Matches,Leicester City,2024,
Stephy Mavididi,eng ENG,FW,26-350,30.0,16,1615.0,17.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.8,1.8,2.6,4.4,91.0,57.0,138.0,0.22,0.06,0.28,0.22,0.28,0.1,0.15,0.25,0.1,0.25,Matches,Leicester City,2024,
Jannik Vestergaard,dk DEN,DF,32-286,18.0,16,1391.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.1,0.2,3.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,Leicester City,2024,
Facundo Buonanotte,ar ARG,"FW,MF",20-144,30.0,14,1504.0,16.7,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,3.9,3.9,3.1,7.0,39.0,54.0,72.0,0.3,0.12,0.42,0.3,0.42,0.24,0.18,0.42,0.24,0.42,Matches,Leicester City,2024,
Caleb Okoli,it ITA,DF,23-307,19.0,12,1125.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.0,0.6,3.0,32.0,2.0,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05,Matches,Leicester City,2024,
Luke Thomas,eng ENG,DF,23-340,12.0,11,949.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,4.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.08,0.03,0.08,Matches,Leicester City,2024,
Oliver Skipp,eng ENG,MF,24-242,22.0,9,1055.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,0.3,0.4,16.0,34.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,Leicester City,2024,
Bobby De Cordova-Reid,jm JAM,FW,32-103,23.0,9,744.0,8.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.2,2.0,14.0,15.0,48.0,0.12,0.24,0.36,0.12,0.36,0.1,0.15,0.24,0.1,0.24,Matches,Leicester City,2024,
Jakub Stolarczyk,pl POL,GK,24-148,8.0,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,
Kasey McAteer,ie IRL,"FW,MF",23-175,16.0,7,688.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.7,1.6,16.0,11.0,59.0,0.0,0.13,0.13,0.0,0.13,0.11,0.09,0.21,0.11,0.21,Matches,Leicester City,2024,
Abdul Fatawu Issahaku,gh GHA,FW,21-069,11.0,6,579.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,42.0,17.0,60.0,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,Matches,Leicester City,2024,
Patson Daka,zm ZAM,"FW,MF",26-219,21.0,5,654.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.1,1.3,10.0,8.0,34.0,0.14,0.0,0.14,0.14,0.14,0.17,0.01,0.18,0.17,0.18,Matches,Leicester City,2024,
Ricardo Pereira,pt POR,DF,31-222,8.0,4,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Leicester City,2024,
Danny Ward,wls WAL,GK,31-328,2.0,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,
Hamza Choudhury,bd BAN,"MF,DF",27-227,4.0,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches,Leicester City,2024,
Woyo Coulibaly,fr FRA,DF,25-361,4.0,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Leicester City,2024,
Jeremy Monga,,"FW,MF",,5.0,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,Leicester City,2024,
Odsonne Édouard,fr FRA,FW,27-120,4.0,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,Leicester City,2024,
Jake Evans,,FW,,2.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,
Will Alves,eng ENG,FW,20-102,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,
Michael Golding,eng ENG,MF,18-358,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,
Olabade Aluko,,MF,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,
Thomas Cannon,ie IRL,FW,22-139,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,
Henry Cartwright,eng ENG,MF,20-156,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,
Daniel Iversen,dk DEN,GK,27-301,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,
